0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"Census Tract 347.02, Philadelphia County, Pennsylvania",3111,0,116,102,47,149,72,29,104,143,634,188,38,42,101,034702,0.18702667952426874
"Census Tract 266, Philadelphia County, Pennsylvania",5357,0,57,135,79,171,349,51,121,219,918,128,141,42,101,026600,0.15841515773753967
"Census Tract 104, Philadelphia County, Pennsylvania",3040,0,9,48,0,90,118,0,0,43,605,82,15,42,101,010400,0.09696052631578947
"Census Tract 132, Philadelphia County, Pennsylvania",2072,0,0,55,9,76,0,19,53,171,272,16,12,42,101,013200,0.14944980694980695
"Census Tract 176.01, Philadelphia County, Pennsylvania",3768,104,101,169,25,173,0,16,0,114,351,30,37,42,101,017601,0.08874734607218683
"Census Tract 36, Philadelphia County, Pennsylvania",5223,27,57,222,39,268,134,0,49,239,528,469,106,42,101,003600,0.13800114876507755
"Census Tract 93, Philadelphia County, Pennsylvania",3539,0,131,15,33,131,158,21,83,157,733,100,27,42,101,009300,0.15808985589149477
"Census Tract 321, Philadelphia County, Pennsylvania",3009,0,67,113,57,158,207,47,46,124,402,104,74,42,101,032100,0.15947490860751082
"Census Tract 214, Philadelphia County, Pennsylvania",3814,0,80,112,32,160,126,68,363,427,832,376,67,42,101,021400,0.3049003670686943
"Census Tract 349, Philadelphia County, Pennsylvania",4770,0,327,156,85,446,245,42,222,203,620,202,113,42,101,034900,0.1899266247379455
"Census Tract 269, Philadelphia County, Pennsylvania",1981,0,43,40,18,95,101,28,81,94,262,55,63,42,101,026900,0.17022715800100957
"Census Tract 292, Philadelphia County, Pennsylvania",3742,0,95,237,89,265,104,0,171,147,488,244,127,42,101,029200,0.18572955638695884
"Census Tract 313, Philadelphia County, Pennsylvania",5841,0,364,169,91,543,353,41,111,243,685,333,191,42,101,031300,0.16984591679506936
"Census Tract 325, Philadelphia County, Pennsylvania",4825,0,170,310,45,482,279,29,106,378,473,206,36,42,101,032500,0.1800518134715026
"Census Tract 14, Philadelphia County, Pennsylvania",3744,22,64,100,70,214,44,66,266,584,894,468,62,42,101,001400,0.33819978632478637
"Census Tract 363.02, Philadelphia County, Pennsylvania",2721,9,113,122,157,261,164,21,41,207,515,86,86,42,101,036302,0.2303087100330761
"Census Tract 332, Philadelphia County, Pennsylvania",2163,0,124,73,61,145,77,38,96,51,390,105,110,42,101,033200,0.20436430883032825
"Census Tract 338, Philadelphia County, Pennsylvania",4752,0,128,223,81,326,164,14,169,209,1000,116,182,42,101,033800,0.19120370370370374
"Census Tract 4.01, Philadelphia County, Pennsylvania",2519,0,0,28,69,36,20,37,327,322,617,109,27,42,101,000401,0.3229853116315998
"Census Tract 8.04, Philadelphia County, Pennsylvania",4478,0,13,93,0,150,16,170,566,798,833,248,111,42,101,000804,0.3595846359982135
"Census Tract 4.02, Philadelphia County, Pennsylvania",3804,0,31,130,131,61,16,64,436,617,626,133,93,42,101,000402,0.32922975814931654
